taxa,Tissue_type,Site_Abbrev,Box,Collection_date,C12_0,C13_0,C14_0,C15_0i,C15ai,C14_1n5,C15_0,C16_0i,C15_1,C16_0,C16_1n7,C17_0,C16_3n4,C17_1,C18_0,C18_1n9t,C18_1n9c,C18_1n7,C18_2n6t,C18_2n6c,C20_0,C18_3n6,C20_1n9,C20_1n7,C18_3n3,C21_0,C18_4n3,C20_2,C22_0,C20_3n9,C20_3n6,C22_1n9,C20_3n3,C20_4n6,C23_0,C22_2,C24_0,C20_5n3,C24_1n9,C22_4n6,C22_5n6,C22_5n3c,C22_6n3,Omega3,Omega6,SAFA,MUFA,PUFA,Total_FA,matrix_id,site_matrix
Bolus,whole,EN,937,6/1/10,0.35363059,0.052955098,1.351725241,0.262565483,0.119933758,0.136919877,0.247439878,0.085391548,0,12.23120362,8.384962132,0.833666891,0.239350794,0,4.424578342,0.064818237,9.351938365,4.848756517,0,8.168485741,0.438962327,0.329818427,0.133324078,0.146497363,11.03274644,0,0.56479236,0.08375352,0.227216725,0.018146603,0.106122784,0.06287521,0.129223725,1.893709661,0,0,0.165134333,4.418032023,0,0.351265924,0,0.159454787,0.106731732,16.41098107,10.84940254,20.79440384,23.13009178,27.60163452,71.52613014,bolus,EN _bolus
Bolus,whole,EN,933,6/4/10,0.104903636,0.066789788,0.62722716,0.334267585,0.153275547,0,0.348721325,0.236189159,0.065403608,15.23219741,3.580775705,1.343244797,0.161331274,0,7.193394236,0.188083471,12.76115349,11.70191107,0,10.41883934,0.63875434,0.506486784,0.307089138,0.107307479,6.478035638,0,0.659295197,0.504903285,0.363048463,0.05669343,0.33424797,0.098625986,0.625586786,4.898784567,0,0,0.2715082,11.95428066,0,0.580179522,0,0.880363248,0.200032629,20.79759416,16.73853819,26.91352164,28.81034995,38.25906034,93.98293193,bolus,EN _bolus
Bolus,whole,EN,922,6/6/10,0.184689584,0.036504684,1.070600323,0.252236252,0.079714295,0.056773943,0.263579799,0.085921799,0,13.68834459,4.441631258,0.519218155,0,0,5.703717534,0.099980524,16.54724731,4.999497764,0,13.34752839,0.415140476,0.350486942,0.183607649,0,7.251061956,0,0.453967472,0.186182412,0.37465739,0.028836157,0.135520365,0,0.180719245,3.357554628,0,0,0.31366965,6.092906022,0,0.37275135,0,0.238573082,0.141001074,14.35822885,17.56384167,22.98799453,26.32873845,32.13708909,81.45382207,bolus,EN _bolus
Bolus,whole,EN,928,6/18/10,0.081484912,0.031464973,0.856685869,0.271298548,0.08847505,0.032831454,0.376700255,0.205158491,0.033002646,10.41799171,1.785011116,1.738384185,0,0,6.47198314,0.152430853,7.670386714,0,0,6.732629427,0.614756159,0.365600482,0.262434851,0,8.896441552,0.088560833,0.510455079,0.354838408,0.584894892,0.275789629,0.299234196,0,0.599781894,4.453092731,0,0,0.252280184,8.878564533,0,0.362065791,0,0.526724696,0.220544176,19.63251193,12.21262263,22.0801192,9.936097633,32.47576259,64.49197943,bolus,EN _bolus
Bolus,whole,EN,931,6/23/10,3.744002758,0.111592865,2.636588628,1.09131054,0.265080905,0.125168315,0.66210521,0.274206299,0,17.62600017,5.806168048,1.596244722,0,0.138202539,5.58056618,0.200110518,11.87565563,4.620820143,0,10.36318298,0.56936268,0.628371634,0.236273417,0,17.32141633,0,1.06843825,0.232500033,0.513638683,0,0.249334322,0,0.244580415,2.411617536,0,0,0.691876096,3.288915623,0,1.106220175,0,0,0,21.92335062,14.75872664,35.36257574,23.00239862,36.91457729,95.27955165,bolus,EN _bolus
Bolus,whole,EN,923,7/2/10,0,0,0.393487298,0.201353493,0.067146379,0,0.225045644,0.114379956,0,8.307283122,2.077596418,1.182781298,0,0,5.76425439,0.112238135,7.767985378,8.560979827,0,6.028400834,0.734287865,0.43922477,0.21986693,0,5.818360854,0,0.566748206,0.267466814,0.495611488,0,0.248615845,0,0.304643225,4.713978454,0,0,0,7.165270264,0,1.138296414,0,0,0,13.85502255,12.56851632,17.48563093,18.73866669,26.69100568,62.9153033,bolus,EN _bolus
Bolus,whole,EN,924,7/6/10,69.26344542,0.111005835,4.83004626,1.617750077,0.234208136,0.149711753,0.283633038,0.223401454,0,20.38153632,7.591572274,2.210001554,0,0,6.014910588,0.122856867,6.771247409,5.324468612,0,10.84402624,0.458155025,1.064784976,0,0,24.75342819,0,1.402162572,0,0.301202151,0,0.190172888,0,0.179774137,1.934110168,0,0,0,1.357753391,0,0.528951118,0,0,0,27.69311829,14.56204539,106.2922633,19.95985692,42.25516368,168.5072839,bolus,EN _bolus
Bolus,whole,EN,927,7/7/10,4.846373364,0.068141366,1.68507087,1.274397046,0.146528066,0.175968704,0.210593266,0.214739441,0,15.2784582,4.839988934,0.935723943,0,0,4.393465507,0.095143415,8.222979859,4.440273887,0,8.724647973,0.302247032,1.107817183,0,0,18.511653,0,1.232874083,0.118746158,0.22618262,0,0.135755401,0,0.167843075,1.259799306,0,0,0.322849265,1.09136392,0,0.847670412,0,0.760091926,0,21.763826,12.07569028,29.90476998,17.7743548,33.95826244,81.63738722,bolus,EN _bolus
Bolus,whole,EN,932,7/9/10,5.613798555,0.068111959,2.026789653,0.89410681,0.10044615,0.140674798,0.169395556,0.13618373,0,11.93639007,5.543980786,1.251427213,0,0.076598578,4.35044047,0.110064289,7.064101903,3.704743593,0,5.918762437,0.294491793,0.2281061,0,0,14.57000178,0,0.319698379,0.089672521,0.266704632,0,0.128177006,0,0.100912,1.672753648,0,0,0.289156013,1.599642214,0,0.703031329,0,0.558953619,0,17.14920799,8.650830521,27.39744261,16.64016395,25.88971104,69.92731759,bolus,EN _bolus
Bolus,whole,ES,910,5/26/10,0.120759516,0.042489643,0.714873858,0.257326197,0.099762009,0,0.458336431,0.142250143,0,11.01442731,1.832809229,1.380388217,0,0,6.59235808,0.128096358,7.719595335,10.83552892,0,6.457941822,0.593373223,0.464776779,0.275008056,0.102444484,8.270976714,0,1.421820304,0.259175092,0.344348613,0,0.198783048,0,0.352082909,3.541155454,0,0,0.288791971,10.52647462,0,0.459412674,0,0.80078481,0.237885372,21.61002473,11.12206978,22.04948521,20.89348238,32.9912696,75.9342372,bolus,ES _bolus
Bolus,whole,ES,900,6/1/10,3.366090497,0.181896763,26.35944676,1.727037811,0.228609215,1.166569661,1.32642789,0.319951287,0,63.77734221,44.68842013,0.919414126,0,0,6.106754337,0.25479302,24.75025445,20.80939017,0,14.18049479,0.954888904,0.612377561,0.407539865,0,11.76173572,0,7.282280937,0,0.428602719,0,0.252331838,0,0.292267214,1.860998811,0,0,0,19.61840759,0,0.434095313,0,1.502038107,0,40.45672957,17.34029831,105.6964625,92.0769673,57.79702788,255.5704577,bolus,ES _bolus
Bolus,whole,ES,914,6/1/10,5.152940523,0.0985416,3.547587596,0.415772852,0.1600813,0.18647268,0.343867768,0.141788796,0,13.88909351,15.59847381,0.791350462,0,0,7.005301776,0.15098094,8.653597143,4.688960975,0,5.850202192,0.482856775,0.675903601,0.189599921,0,6.910023574,0,0.97671492,0.195801533,0.324620384,0,0.243887777,0,0.222853905,3.745546633,0,0,0.44559854,6.461585751,0.327812538,1.171073299,0.379555678,6.777957603,0,21.34913575,12.06616918,32.89594903,29.79589801,33.61110647,96.3029535,bolus,ES _bolus
Bolus,whole,ES,917,6/1/10,0.224280552,0.090685627,2.194385889,1.133770138,0.699920439,0.080813483,0.562698324,0.450551355,0,9.868554877,4.858986322,0.997718812,0,0,3.722895091,0.14709189,5.35278673,5.308222506,0,5.083771899,0.424210497,0.305735573,0.156583021,0,4.313151678,0,0.93437435,0.298902561,0.235373103,0,0.210203834,0,0.169336368,2.815136609,0,0,0,7.40593583,0,0.453359494,0,1.26576381,0.30403981,14.39260185,8.868207407,20.6050447,15.90448395,23.55971181,60.06924047,bolus,ES _bolus
Bolus,whole,ES,905,6/3/10,0.072451807,0,0.250357597,0.057709962,0.029994817,0,0.193462686,0.061646687,0.035833987,6.041276817,0.941241094,1.497636696,0,0,5.95793579,0.07020464,4.587852183,6.117860597,0,5.291454088,0.608691229,0.367050145,0.114508126,0.057782001,4.912238962,0.08054583,0.45317643,0.401383198,0.500433342,0,0.280041354,0,0.282888045,4.392577442,0,0,0.193314542,8.392639877,0,0.542405107,0,0.271575445,0.132324016,14.44484278,10.87352814,15.5454578,11.92528263,25.71975411,53.19049454,bolus,ES _bolus
Bolus,whole,ES,903,6/6/10,1.119498974,0,1.851871263,0.340462181,0.09693992,0.096349386,0.32930023,0.167042841,0,20.87921746,4.851808897,0.805391114,0,0,7.652510525,0.128965075,17.60500476,9.37553846,0,10.7795277,0.535091706,0.536749336,0.397079017,0,7.909599283,0,1.063943536,0.215539022,0.315861836,0,0.191362172,0,0.212221704,4.213982475,0,0,0.311724873,10.31772881,0,0.457978645,0,0.626593863,0.170934756,20.30102196,16.17960033,34.40491292,32.4547456,36.69616131,103.5558198,bolus,ES _bolus
Bolus,whole,ES,919,6/6/10,0.270171385,0.058669168,1.31009164,0.242850982,0.062204494,0.089864222,0.267670529,0,0,16.45526836,5.148973,0.781202103,0,0,6.640669072,0.122629713,14.83379681,6.773332651,0,10.98519264,0.593425593,0.409931133,0.350024643,0,6.768902819,0,0.678317128,0.236685774,0.320180273,0,0.201883623,0,0.239342204,3.642223033,0,0,0.340569733,8.368318277,0,0.480936006,0,0.641765427,0.160008669,16.85665452,15.72016644,27.3796955,27.31862104,32.81350673,87.51182327,bolus,ES _bolus
Bolus,whole,ES,911,6/14/10,0.316532095,0.091692918,1.68699167,0.659027708,0.126366646,0.078129456,0.616554881,0.238740243,0,20.66956783,3.186013284,2.502674299,0,0,8.643588997,0.218022406,12.54405667,11.56397617,0.140999886,8.146706189,0.692718505,0.47133317,0.350078513,0,17.03320957,0,1.006288671,0.33823355,0.470847191,0,0.464232144,0,0.703738284,4.516263087,0,0,0,9.299398984,0,0.501964662,0,0.512483319,0.335760606,28.89087943,14.24149914,36.7667928,27.9402765,43.47061212,108.1776814,bolus,ES _bolus
