taxa,Tissue_type,Comment,FA_ID,Site,Site_Abbrev,Box,Chick,Collection_date,size_g_or_mm,Scientific_name,CryoBox,taxa2,matrix_id,PtLipids
Chironomidae,composite,.,150,Emiquon South,ES,,,7/5/10,,,1,Chiro,Chiro,11.93712327
Chironomidae,composite,.,251,Emiquon South,ES,,,5/26/10,,,1,Chiro,Chiro,12.77747156
Chironomidae,composite,.,253,Emiquon South,ES,,,6/1/10,,,1,Chiro,Chiro,14.55074573
Chironomidae,composite,.,255,Emiquon South,ES,,,6/6/10,,,1,Chiro,Chiro,11.96801651
Chironomidae,composite,.,257,Emiquon South,ES,,,6/16/10,,,1,Chiro,Chiro,12.76927576
Chironomidae,composite,.,259,Emiquon South,ES,,,6/20/10,,,1,Chiro,Chiro,13.94360357
Chironomidae,composite,.,261,Emiquon South,ES,,,6/29/10,,,1,Chiro,Chiro,13.58997676
Chironomidae,composite,.,264,Emiquon South,ES,,,7/5/10,,,1,Chiro,Chiro,12.66230776
Chironomidae,composite,.,151,Lawrence Lake,LL,,,5/19/10,,,1,Chiro,Chiro,13.30480089
Chironomidae,composite,.,266,Lawrence Lake,LL,,,5/19/10,,,1,Chiro,Chiro,14.09208788
Chironomidae,composite,.,267,Lawrence Lake,LL,,,5/27/10,,,1,Chiro,Chiro,16.2289336
Chironomidae,composite,.,159,Shellhorn,SH,,,6/3/10,,,1,Chiro,Chiro,13.46029214
Chironomidae,composite,.,277,Shellhorn,SH,,,5/19/10,,,1,Chiro,Chiro,12.85396733
Chironomidae,composite,.,279,Shellhorn,SH,,,5/27/10,,,1,Chiro,Chiro,13.2589307
Chironomidae,composite,.,282,Shellhorn,SH,,,6/3/10,,,1,Chiro,Chiro,12.12326121
Chironomidae,composite,.,288,Shellhorn,SH,,,6/9/10,,,1,Chiro,Chiro,14.01431039
Chironomidae,composite,.,291,Shellhorn,SH,,,6/16/10,,,1,Chiro,Chiro,11.90879605
Chironomidae,composite,.,297,Shellhorn,SH,,,6/23/10,,,3,Chiro,Chiro,14.32258718
Coenagrionid,composite,.,142,Emiquon North,EN,,,7/5/10,,,4,Coena,Coena,14.22521446
Coenagrionid,composite,.,250,Emiquon North,EN,,,7/5/10,,,1,Coena,Coena,13.89673483
Coleoptera,composite,.,258,Emiquon South,ES,,,6/16/10,,,1,Coleo,Coleo,14.34844771
Corixidae,composite,.,244,Emiquon North,EN,,,6/16/10,,,1,Corix,Corix,16.12017767
Culicidae,composite,.,252,Emiquon South,ES,,,5/26/10,,,1,Culic,Culic,14.96800731
Culicidae,composite,.,254,Emiquon South,ES,,,6/1/10,,,1,Culic,Culic,19.83446425
Diptera,composite,.,214,Big Lake North,BN,,,5/30/10,,,1,Dipte,Dipte,14.96074656
Diptera,composite,.,134,Big Lake South,BS,,,5/30/10,,,4,Dipte,Dipte,10.27331804
Diptera,composite,.,153,Big Lake South,BS,,,6/7/10,,,1,Dipte,Dipte,13.70048833
Diptera,composite,.,226,Big Lake South,BS,,,5/30/10,,,1,Dipte,Dipte,10.97351373
Diptera,composite,.,228,Big Lake South,BS,,,6/7/10,,,1,Dipte,Dipte,12.57590972
Diptera,composite,.,236,Big Lake South,BS,,,7/6/10,,,1,Dipte,Dipte,15.54227156
Diptera,composite,.,158,Emiquon North,EN,,,5/26/10,,,1,Dipte,Dipte,12.09200068
Diptera,composite,.,164,Emiquon North,EN,,,6/6/10,,,1,Dipte,Dipte,13.90438988
Diptera,composite,.,238,Emiquon North,EN,,,5/26/10,,,1,Dipte,Dipte,13.31890452
Diptera,composite,.,240,Emiquon North,EN,,,6/1/10,,,1,Dipte,Dipte,26.91480685
Diptera,composite,.,242,Emiquon North,EN,,,6/6/10,,,1,Dipte,Dipte,15.0267804
Diptera,composite,.,256,Emiquon South,ES,,,6/6/10,,,1,Dipte,Dipte,23.4256927
Ephemeropter,composite,.,272,Lawrence Lake,LL,,,6/3/10,,,1,Ephem,Ephem,17.25916893
Ephemeropter,composite,.,278,Shellhorn,SH,,,5/19/10,,,1,Ephem,Ephem,14.53631615
Ephemeropter,composite,.,280,Shellhorn,SH,,,5/27/10,,,1,Ephem,Ephem,15.77965859
Ephemeropter,composite,.,285,Shellhorn,SH,,,6/3/10,,,1,Ephem,Ephem,15.26496305
Ephemeropter,composite,.,289,Shellhorn,SH,,,6/9/10,,,1,Ephem,Ephem,13.80689857
Ephemeropter,composite,.,292,Shellhorn,SH,,,6/16/10,,,3,Ephem,Ephem,13.72872048
Hemiptera,composite,.,216,Big Lake North,BN,,,6/7/10,,,1,Hemip,Hemip,17.31191379
Hexagenia,composite,.,271,Lawrence Lake,LL,,,6/3/10,,,1,Hexag,Hexag,19.11134435
Hexagenia,composite,.,161,Shellhorn,SH,,,6/9/10,,,1,Hexag,Hexag,19.51243732
Hexagenia,composite,.,162,Shellhorn,SH,,,6/16/10,,,1,Hexag,Hexag,16.99971588
Hexagenia,composite,.,286,Shellhorn,SH,,,6/9/10,,,1,Hexag,Hexag,15.41561713
Hexagenia,composite,.,294,Shellhorn,SH,,,6/16/10,,,3,Hexag,Hexag,19.32462411
Hexagenia,composite,.,298,Shellhorn,SH,,,6/23/10,,,3,Hexag,Hexag,14.43339185
Limnephilida,composite,.,148,Emiquon South,ES,,,6/20/10,,,1,Limne,Limne,18.89075005
Limnephilida,composite,.,260,Emiquon South,ES,,,6/20/10,,,1,Limne,Limne,18.80500232
Odonata,composite,.,155,Lawrence Lake,LL,,,6/3/10,,,1,Odona,Odona,12.27672956
Odonata,composite,.,270,Lawrence Lake,LL,,,6/3/10,,,1,Odona,Odona,13.34702259
Odonata,composite,.,284,Shellhorn,SH,,,6/3/10,,,1,Odona,Odona,12.76737649
Odonata,composite,.,293,Shellhorn,SH,,,6/16/10,,,3,Odona,Odona,12.60546915
Odonata,composite,.,295,Shellhorn,SH,,,6/23/10,,,3,Odona,Odona,12.70321859
Sciomyzidae,composite,.,263,Emiquon South,ES,,,7/5/10,,,1,Sciom,Sciom,12.25454721
Staphylinida,composite,.,224,Big Lake North,BN,,,7/6/10,,,1,Staph,Staph,17.45545223
Staphylinida,composite,.,262,Emiquon South,ES,,,6/29/10,,,1,Staph,Staph,16.95703872
Tipulidae,composite,.,265,Lawrence Lake,LL,,,5/19/10,,,1,Tipul,Tipul,10.93547551
Tipulidae,composite,.,276,Shellhorn,SH,,,5/19/10,,,1,Tipul,Tipul,14.77618427
Tree_Swallow,portion,.,1,Big Lake North,BN,961,.,6/2/10,19,Tachycineta bicolor,2,Tree_,Tree_,14.6920137
Tree_Swallow,portion,.,2,Big Lake North,BN,965,.,6/3/10,21.1,Tachycineta bicolor,2,Tree_,Tree_,15.92835658
Tree_Swallow,portion,.,4,Big Lake North,BN,969,.,6/19/10,21.2,Tachycineta bicolor,2,Tree_,Tree_,15.14850502
