SPEC_ID,BS_ID,TC_ID,TC_ID2,SEX,WELL_NO,FOIL_TEAR DRY WT,SAMPLE DRY WT
377,20,71,,,CC-4,0.0291,0.0291
378,20,71,,,CC-5,0.0339,0.034
379,20,71,,,CC-6,0.0296,0.0294
380,20,71,,,CC-7,0.0316,0.0317
381,21,72,,,CC-8,0.0284,0.0284
382,21,72,,,CC-9,0.0282,0.0284
383,21,72,,,CC-10,0.0308,0.0315
384,21,72,,,CC-11,0.0322,0.0324
385,21,72,,,CC-12,0.0349,0.0349
386,21,72,,,DD-1,0.031,0.0314
387,21,72,,,DD-2,0.0285,0.0283
388,21,72,,,DD-3,0.0301,0.0301
389,21,72,,,DD-4,0.0308,0.0313
390,21,72,,,DD-5,0.0325,0.0323
391,21,72,,,DD-6,0.0344,0.0346
392,21,72,,,DD-7,0.0302,0.0302
393,21,72,,,DD-8,0.0322,0.0322
394,21,72,,,DD-9,0.0339,0.0344
395,21,72,,,DD-10,0.0354,0.0355
396,21,72,,,DD-11,0.0256,0.0256
397,21,72,,,DD-12,0.0305,0.0305
398,21,72,,,EE-1,0.0313,0.0313
399,21,72,,,EE-2,0.0345,0.0346
400,21,72,,,EE-3,0.0354,0.0353
401,21,72,,,EE-4,0.0341,0.0341
402,21,72,,,EE-5,0.0285,0.0285
403,21,72,,,EE-6,0.0309,0.0311
404,21,72,,,EE-7,0.0246,0.0248
405,21,72,,,EE-8,0.0284,0.029
406,21,72,,,EE-9,0.0357,0.0367
407,21,72,,,EE-10,0.0263,0.0264
408,21,72,,,EE-11,0.0339,0.0339
409,21,72,,,EE-12,0.0323,0.0323
410,21,72,,,FF-1,0.0281,0.0287
411,21,73,,,FF-2,0.0361,0.0361
412,21,74,,,FF-3,0.0329,0.0329
413,21,75,,,FF-4,0.0327,0.0367
414,21,76,,,FF-5,0.0262,0.0299
415,22,77,,,FF-6,0.0325,0.0326
416,22,78,,,FF-7,0.0264,0.0269
417,22,78,,,FF-8,0.0306,0.0313
418,22,78,,,FF-9,0.0302,0.0303
419,22,78,,,FF-10,0.0335,0.0335
420,22,78,,,FF-11,0.0274,0.0276
421,22,78,,,FF-12,0.0244,0.0247
422,22,78,,,GG-1,0.028,0.0278
423,22,78,,,GG-2,0.026,0.026
424,22,78,,,GG-3,0.0251,0.0251
425,22,78,,,GG-4,0.0257,0.0254
426,22,78,,,GG-5,0.0184,0.0184
427,22,78,,,GG-6,0.0248,0.0248
428,22,78,,,GG-7,0.0246,0.0246
429,22,79,,,GG-8,0.0214,0.0249
430,22,79,,,GG-9,0.0252,0.0278
431,22,79,,,GG-10,0.0244,0.0264
432,22,79,,,GG-11,0.0241,0.0283
433,22,79,,,GG-12,0.0194,0.0212
434,22,79,,,HH-1,0.0246,0.027
435,22,79,,,HH-2,0.0331,0.0356
436,23,80,,,HH-3,0.0195,0.0196
437,23,80,,,HH-4,0.0205,0.021
438,23,80,,,HH-5,0.0233,0.0231
439,23,80,,,HH-6,0.0319,0.0321
440,23,80,,,HH-7,0.0227,0.0224
441,23,80,,,HH-8,0.0291,0.0292
442,23,80,,,HH-9,0.036,0.0367
443,23,80,,,HH-10,0.0359,0.036
444,23,80,,,HH-11,0.0287,0.0289
445,23,80,,,HH-12,0.0284,0.0289
446,23,80,,,JJ-1,0.0251,0.0257
447,23,80,,,JJ-2,0.0343,0.035
448,23,80,,,JJ-3,0.0276,0.0279
449,23,80,,,JJ-4,0.0267,0.0271
450,23,80,,,JJ-5,0.0269,0.0274
451,23,80,,,JJ-6,0.0282,0.0285
452,23,80,,,JJ-7,0.0313,0.032
453,23,80,,,JJ-8,0.0295,0.0307
454,23,80,,,JJ-9,0.0261,0.0268
455,23,80,,,JJ-10,0.0275,0.028
456,23,80,,,JJ-11,0.0188,0.0193
457,23,80,,,JJ-12,0.024,0.025
458,23,80,,,LL-1,0.0315,0.0328
459,23,80,,,LL-2,0.0295,0.0298
460,23,80,,,LL-3,0.0296,0.0301
461,23,80,,,LL-4,0.0295,0.0306
462,23,80,,,LL-5,0.035,0.0362
463,23,80,,,LL-6,0.031,0.0321
464,23,80,,,LL-7,0.0302,0.0309
465,23,80,,,LL-8,0.0289,0.0294
466,23,80,,,LL-9,0.0302,0.031
467,23,80,,,LL-10,0.0205,0.0223
468,23,80,,,LL-11,0.0305,0.0314
469,23,80,,,LL-12,0.0233,0.0246
470,23,80,,,MM-1,0.0295,0.03
471,23,80,,,MM-2,0.0291,0.0298
472,23,80,,,MM-3,0.0281,0.0285
473,23,80,,,MM-4,0.0324,0.0335
474,23,80,,,MM-5,0.0309,0.0312
475,23,80,,,MM-6,0.0332,0.0337
476,23,80,,,MM-7,0.0338,0.0345
477,23,80,,,MM-8,0.0288,0.0292
478,23,80,,,MM-9,0.0304,0.0311
479,23,80,,,MM-10,0.0304,0.0309
480,23,80,,,MM-11,0.03,0.0307
481,23,80,,,MM-12,0.0305,0.0311
482,23,80,,,OO-1,0.0291,0.0296
483,23,80,,,OO-2,0.0262,0.0267
484,23,80,,,OO-3,0.024,0.0257
485,23,80,,,OO-4,0.026,0.0269
486,23,80,,,OO-5,0.03,0.0311
487,23,80,,,OO-6,0.0309,0.0315
488,23,80,,,OO-7,0.0261,0.0269
489,23,80,,,OO-8,0.0251,0.0255
490,23,80,,,OO-9,0.0245,0.025
491,23,80,,,OO-10,0.0278,0.0282
492,23,80,,,OO-11,0.0205,0.021
493,23,80,,,OO-12,0.0303,0.0315
494,23,80,,,PP-1,0.0229,0.0233
495,23,80,,,PP-2,0.0235,0.0236
